"X0","","","Air SW on Stacker"
"X1","","","Air Pressure OK"
"X2","","","Stacker Reset PB"
"X3","","","Machine Run Started"
"X4","","","Latch Cam Start Cycle"
"X5","","","Eject In"
"X6","","","Eject Out"
"X7","","","Transfer Operator Side"
"X8","","","Transfer Drive Side"
"X9","","","Operator Side Load In"
"X10","","","Operator Side Load Out"
"X11","","","Tape Glue Manual"
"X12","","","Tape Glue Auto"
"X13","","","Machine In Run"
"X32","","","Guard Door SW"
"Y0","","","Stacker Jam Light"
"Y1","","","Timing Fault Light"
"Y2","","","Gradual Start Valve"
"Y3","","","Operator Side Load Sol"
"Y4","","","Transfer Sol"
"Y5","","","Compression Sol"
"Y8","","","Ejection Sol"
"Y9","","","Vertical Bar Sol"
"Y10","","","Machine Stop Interlock"
"Y48","","","Tape Glue SOL Manual"
"Y49","","","Tape Glue SOL Auto"
"Y69","","","Tape Glue Pump On"
"Y72","","","Tape Power Relay"
"C30","","","Standard Work Week Day"
"C31","","","Arm Auto Warm Glue Lamp"
"C32","","","Auto Warm Glue Armed Lamp"
"C33","","","Auto Heat Glue"
"C34","","","Auto Glue Triggered Today"
"C36","","","Manually Heat Glue"
"C200","","","Enable Stacker Program"
"C201","","","Enable Glue Program"
"C203","","","Enable Stacker Test"
"C400","","","Mock Stacker Operation Pre-Run State"
"C401","","","Mock Stacker Operation Reset State"
"C402","","","Mock Stacker Operation Ejection State"
"C403","","","Mock Stacker Operation Compression State"
"C404","","","Mock Stacker Operation Transfer State"
"C405","","","Mock Stacker Operation Load State"
"C406","","","Mock Stacker Operation Cycle"
"C407","","","Mock Turn On Stacker"
"C408","","","Mock Restart Stacker"
"C600","","","Passed Stacker On Test"
"C601","","","Passed Stacker Pre- Run Error Test"
"C602","","","Passed Stacker Runtime Error Test"
"C603","","","Passed Stacker Detect State Test"
"C604","","","Passed Stacker Set State"
"C605","","","Passed Stacker Set State"
"D30","","","Vertical Bar On Buffer"
"D31","","","Ejection On Buffer"
"D32","","","Compression On Buffer"
"D33","","","Transfer On Buffer"
"D34","","","Load On Buffer"
"D40","","","Vertical Bar Off Buffer"
"D50","","","Stacker Operation Mock State"
"STKC0","","","Eject In Eye Buffer"
"STKC1","","","Eject Out Eye Buffer"
"STKC2","","","Transfer Drive Side Eye Buffer"
"STKC3","","","Transfer Operator Side Eye Buffer"
"STKC4","","","Load In Eye Buffer"
"STKC5","","","Load Out Eye Buffer"
"STKC10","","","Stacker Operation Vertical Bar SOL Buffered"
"STKC11","","","Stacker Operation Ejection SOL Buffered"
"STKC12","","","Stacker Operation Compression SOL Buffered"
"STKC13","","","Stacker Operation Transfer SOL Buffered"
"STKC14","","","Stacker Operation Load SOL Buffered"
"STKC15","","","Stacker Vertical Bar On Buffer"
"STKC16","","","Stacker Vertical Bar Off Buffer"
"STKC17","","","Stacker Ejection Bar On Buffer"
"STKC18","","","Stacker Ejection Bar Off Buffer"
"STKC19","","","Stacker Compression On Buffer"
"STKC20","","","Stacker Compression Off Buffer"
"STKC21","","","Stacker Transfer On Buffer"
"STKC22","","","Stacker Transfer Off Buffer"
"STKC23","","","Stacker Load On Buffer"
"STKC24","","","Stacker Load Off Buffer"
"STKC30","","","Stacker Reset Press"
"STKC31","","","Stacker Cycle Disconnect"
"STKC40","","","Begin Timers"
"STKC41","","","Transition State"
"STKC42","","","Stacker Start Up Cycle Delay"
"STKC43","","","Latch Cycle Open"
"STKC44","SET","",""
"STKC100","","","Stacker Run State"
"STKC120","","","Stacker Pre Run Error State"
"STKC121","","","Stacker Run Time Error State"
"STKC122","","","Stacker Operation Transition State Timeout Error"
"STKC123","","","Stacker Operation Missed Cam Latch Cycle Error"
"STKD15","","","Vertical Bar On Buffer"
"STKD16","","","Vertical Bar Off Buffer"
"STKD17","","","Ejection On Buffer"
"STKD18","","","Ejection Off Buffer"
"STKD19","","","Compression On Buffer"
"STKD20","","","Compression Off Buffer"
"STKD21","","","Transfer On Buffer"
"STKD22","","","Transfer Off Buffer"
"STKD23","","","Load On Buffer"
"STKD24","","","Load Off Buffer"
"STKD30","","","Reset State Lockout"
"STKD31","","","Reset State Timeout"
"STKD32","","","Eject State Lockout"
"STKD33","","","Eject State Timeout"
"STKD34","","","Transfer State Lockout"
"STKD35","","","Transfer State Timeout"
"STKD36","","","Load State Lockout"
"STKD37","","","LoadState Timeout"
"STKD40","","","Stacker Transition Lock Out ms"
"STKD41","","","Stacker Transition Time Out ms"
"STKD42","","","Stacker Operation Detected State"
"STKD43","","","Stacker Operation State Set"
"STKD45","","","Stacker Operation Next Cycle State"
